DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
MON,CSE-1,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X,---,DS,---,AFL,PS
MON,CSE-2,---,DSD,---,DSD(L),DSD(L),---,IND4,---,PS,STW,---,X,---,X,X
MON,CSE-3,---,X,---,X,X,---,STW,---,DSD,AFL,---,PS,---,IND4,X
MON,CSE-4,---,DSD,---,DSD(L),DSD(L),---,DS,---,AFL,PS,---,X,---,X,X
MON,CSE-5,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,PS,---,X,X
MON,CSE-6,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-7,---,PS,---,DS,STW,---,X,---,X,X,---,AFL,---,DS(L),DS(L)
MON,CSE-8,---,DS,---,STW,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
MON,CSE-9,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L),---,AFL,---,DS,PS
MON,CSE-10,---,DS,---,PS,STW,---,AFL,---,DS(L),DS(L),---,X,---,X,X
MON,CSE-11,---,X,---,X,X,---,STW,---,AFL,X,---,DSD,---,DSD(L),DSD(L)
MON,CSE-12,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-13,---,PS,---,AFL,DS,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
MON,CSE-14,---,AFL,---,DSD,IND4,---,PS,---,DS,STW,---,X,---,X,X
MON,CSE-15,---,X,---,X,X,---,IND4,---,AFL,STW,---,PS,---,DS,DSD
MON,CSE-16,---,X,---,AFL,DSD,---,PS,---,STW,IND4,---,X,---,X,X
MON,CSE-17,---,X,---,X,X,---,PS,---,DSD,DS,---,AFL,---,STW,X
MON,CSE-18,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-19,---,PS,---,AFL,DS,---,X,---,X,X,---,DSD,---,DSD(L),DSD(L)
MON,CSE-20,---,DSD,---,DSD(L),DSD(L),---,STW,---,PS,AFL,---,X,---,X,X
MON,CSE-21,---,X,---,X,X,---,IND4,---,AFL,X,---,PS,---,DSD,DS
MON,CSE-22,---,IND4,---,AFL,DS,---,PS,---,DS(L),DS(L),---,X,---,X,X
