DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
MON,CSE-2,---,DSD,---,DSD(L),DSD(L),---,IND4,---,PS,STW,---,X,---,X,X
MON,CSE-4,---,DSD,---,DSD(L),DSD(L),---,DS,---,AFL,PS,---,X,---,X,X
MON,CSE-6,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-8,---,DS,---,STW,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
MON,CSE-10,---,DS,---,PS,STW,---,AFL,---,DS(L),DS(L),---,X,---,X,X
MON,CSE-12,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-14,---,AFL,---,DSD,IND4,---,PS,---,DS,STW,---,X,---,X,X
MON,CSE-16,---,X,---,AFL,DSD,---,PS,---,STW,IND4,---,X,---,X,X
MON,CSE-18,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-20,---,DSD,---,DSD(L),DSD(L),---,STW,---,PS,AFL,---,X,---,X,X
MON,CSE-22,---,IND4,---,AFL,DS,---,PS,---,DS(L),DS(L),---,X,---,X,X
MON,CSE-24,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-26,---,STW,---,DSD,DS,---,IND4,---,PS,X,---,X,---,X,X
MON,CSE-28,---,DSD,---,DS,IND4,---,PS,---,AFL,STW,---,X,---,X,X
MON,CSE-30,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-32,---,PS,---,IND4,DS,---,DSD,---,STW,X,---,X,---,X,X
MON,CSE-34,---,X,---,STW,AFL,---,DSD,---,PS,DS,---,X,---,X,X
MON,CSE-36,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-38,---,X,---,DS,STW,---,PS,---,DSD,AFL,---,X,---,X,X
MON,CSE-40,---,X,---,X,DSD,---,PS,---,AFL,X,---,X,---,X,X
MON,CSE-42,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-44,---,X,---,X,PS,---,DSD,---,STW,DS,---,X,---,X,X
MON,CSE-46,---,X,---,X,DSD,---,PS,---,STW,DS,---,X,---,X,X
MON,CSE-48,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
MON,CSE-50,---,DS,---,PS,STW,---,IND4,---,AFL,DSD,---,X,---,X,X
MON,CSE-52,---,X,---,X,AFL,---,PS,---,DSD,DS,---,X,---,X,X
MON,CSE-54,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-1,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-4,---,AFL,---,DS,DSD,---,PS,---,STW,X,---,X,---,X,X
TUE,CSE-6,---,X,---,AFL,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-7,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-10,---,X,---,PS,DS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-12,---,DS,---,DSD,AFL,---,IND4,---,STW,PS,---,X,---,X,X
TUE,CSE-13,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-16,---,DSD,---,DSD(L),DSD(L),---,PS,---,AFL,STW,---,X,---,X,X
TUE,CSE-18,---,PS,---,DS,STW,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-19,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-22,---,STW,---,PS,DS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
TUE,CSE-24,---,X,---,DSD,PS,---,STW,---,AFL,X,---,X,---,X,X
TUE,CSE-25,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
TUE,CSE-28,---,X,---,PS,DS,---,IND4,---,AFL,STW,---,X,---,X,X
TUE,CSE-30,---,IND4,---,DS(L),DS(L),---,STW,---,AFL,PS,---,X,---,X,X
TUE,CSE-31,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
